id,range_names,GPU Elapsed Time
720,DrawIndexed,5.64
721,DrawIndexed,13.12
722,DrawIndexed,15.24
723,DrawIndexed,13.72
724,DrawIndexed,14
725,DrawIndexed,13.28
726,DrawIndexed,13.88
727,DrawIndexed,13.52
728,DrawIndexed,13.12
729,DrawIndexed,15.68
730,DrawIndexed,14.48
731,DrawIndexed,13.76
732,DrawIndexed,16.72
733,DrawIndexed,14.84
734,DrawIndexed,14
735,DrawIndexed,14.04
736,DrawIndexed,13.96
737,DrawIndexed,13.92
738,DrawIndexed,14.12
739,DrawIndexed,14.88
740,DrawIndexed,14.88
741,DrawIndexed,15.08
742,DrawIndexed,14.88
743,DrawIndexed,14.52
744,DrawIndexed,15.52
745,DrawIndexed,14.44
746,DrawIndexed,13.92
747,DrawIndexed,6.04
748,DrawIndexed,17
749,DrawIndexed,18.56
750,DrawIndexed,19.36
751,DrawIndexed,17.28
752,DrawIndexed,17.88
753,DrawIndexed,18.48
754,DrawIndexed,22.8
755,DrawIndexed,13.88
756,DrawIndexed,14.04
757,DrawIndexed,13.96
758,DrawIndexed,6.84
759,DrawIndexed,11.12
760,DrawIndexed,8.36
761,DrawIndexed,9.68
762,DrawIndexed,8.88
763,DrawIndexed,8.12
764,DrawIndexed,7
765,DrawIndexed,6.96
766,DrawIndexed,7.04
767,DrawIndexed,7.12
768,DrawIndexed,18.16
769,DrawIndexed,8.36
770,DrawIndexed,16.2
771,DrawIndexed,16.2
772,DrawIndexed,8.08
773,DrawIndexed,7.76
774,DrawIndexed,8.96
775,DrawIndexed,7.92
776,DrawIndexed,7.32
777,DrawIndexed,7.72
778,DrawIndexed,15.88
779,DrawIndexed,18.6
780,DrawIndexed,19.08
781,DrawIndexed,17.72
782,DrawIndexed,19.48
783,DrawIndexed,23.08
784,DrawIndexed,18.68
785,DrawIndexed,18.64
786,DrawIndexed,18.68
787,DrawIndexed,18.56
788,DrawIndexed,18.92
789,DrawIndexed,18.24
790,DrawIndexed,18.92
791,DrawIndexed,8.4
792,DrawIndexed,18.68
793,DrawIndexed,19.04
794,DrawIndexed,19.4
795,DrawIndexed,5.68
796,DrawIndexed,17.68
797,DrawIndexed,18.8
798,DrawIndexed,5.72
799,DrawIndexed,5.84
800,DrawIndexed,18.84
801,DrawIndexed,18.56
802,DrawIndexed,18.76
803,DrawIndexed,18.64
804,DrawIndexed,19
805,DrawIndexed,18.12
806,DrawIndexed,18.36
807,DrawIndexed,18.32
808,DrawIndexed,18.68
809,DrawIndexed,6.04
810,DrawIndexed,5.92
811,DrawIndexed,4.84
812,DrawIndexed,20.88
813,DrawIndexed,9.08
814,DrawIndexed,17.72
815,DrawIndexed,6
816,DrawIndexed,19.2
817,DrawIndexed,18.84
818,DrawIndexed,5.84
819,DrawIndexed,18.76
820,DrawIndexed,20.92
821,DrawIndexed,18.52
822,DrawIndexed,18.64
823,DrawIndexed,7.92
824,DrawIndexed,6.92
825,DrawIndexed,5.36
826,DrawIndexed,5.48
827,DrawIndexed,5.72
828,DrawIndexed,6.04
829,DrawIndexed,5.44
830,DrawIndexed,7
831,DrawIndexed,6.16
832,DrawIndexed,6.16
833,DrawIndexed,5.92
834,DrawIndexed,5.48
835,DrawIndexed,6.28
836,DrawIndexed,4.96
837,DrawIndexed,4.64
838,DrawIndexed,5.2
839,DrawIndexed,5.28
840,DrawIndexed,5.12
841,DrawIndexed,5.28
842,DrawIndexed,5.56
843,DrawIndexed,5.4
844,DrawIndexed,5.92
845,DrawIndexed,4.76
846,DrawIndexed,4.52
847,DrawIndexed,5.48
848,DrawIndexed,5.2
849,DrawIndexed,4.72
850,DrawIndexed,5.2
851,DrawIndexed,5.24
852,DrawIndexed,5.24
853,DrawIndexed,4.76
854,DrawIndexed,13.2
855,DrawIndexed,5.12
856,DrawIndexed,4.76
857,DrawIndexed,4.76
858,DrawIndexed,13.68
859,DrawIndexed,5.36
860,DrawIndexed,5.32
861,DrawIndexed,11.84
862,DrawIndexed,6.16
863,DrawIndexed,4.52
864,DrawIndexed,5.12
865,DrawIndexed,13.28
866,DrawIndexed,13.12
867,DrawIndexed,163.16
868,DrawIndexed,68.56
869,DrawIndexed,8.88
870,DrawIndexed,36.28
871,DrawIndexed,17.92
872,DrawIndexed,5.88
873,DrawIndexed,17.76
874,DrawIndexed,17.56
875,DrawIndexed,95.4
876,DrawIndexed,84.8
877,DrawIndexed,44.76
878,DrawIndexed,8.08
879,DrawIndexed,5.8
880,DrawIndexed,14.52
